trnsaction_date,activation_date,entity_id,tmcode,offer_name,entity_type_name,entity_name,seller_id,nbr_transaction,nbr_activation
2024-07-08,NULL,,,,BOUTIQUE,Boutique Bardo,ASAHLI,20,0
2024-07-05,2024-07-05,,,,FRANCHISE,Franchise Fouchana,YOMAIM,1,1
2024-06-08,NULL,,,,FRANCHISE,Franchise Ennaser 2,ALSEIF,8,0
2024-06-20,NULL,,,,BOUTIQUE,Boutique Beja,ABNAMR,32,0
2024-06-08,NULL,,,,FRANCHISE,Franchise Fouchana,YOMAIM,4,0
2024-06-08,NULL,,,,BOUTIQUE,Boutique Tozeur,HCHEBB,2,0
2024-07-20,NULL,,,,BOUTIQUE,Boutique Mahdia,IMENZAOU,3,0
2024-06-27,NULL,,,,FRANCHISE,Franchise Kairouan,DORKC,1,0
2024-06-11,NULL,,,,FRANCHISE,Franchise Jerba H Souk,TMANE,5,0
2024-07-01,NULL,,,,LAB2.0,LAB Menzel Temime,LHMAHA,9,0
2024-06-22,NULL,,,,FRANCHISE,Franchise Manouba,MANAGH,5,0
2024-06-10,NULL,,,,FRANCHISE,Franchise Hammamet,MBENAMEU,1,0
2024-07-08,NULL,,,,FRANCHISE,Franchise Douar Hicher,NAHAJR,9,0
2024-06-08,NULL,,,,BOUTIQUE,Boutique Sfax 1,MCHERI0,5,0
2024-07-13,NULL,,,,BOUTIQUE,Boutique Habib Bourguiba,HWIDED,3,0
2024-06-07,NULL,,,,FRANCHISE,Franchise Zaghouane,MBABD,1,0
2024-06-18,NULL,,,,LAB2.0,LAB SERVICE INFORMATIQUE,TRABWC,3,0
2024-06-20,NULL,,,,BOUTIQUE,Boutique Sfax 2,TONY,5,0
2024-06-11,NULL,,,,BOUTIQUE,Boutique Ezzahra,HILHEM,8,0
2024-07-12,NULL,,,,FRANCHISE,Franchise Lac II,SRIHA,4,0
2024-06-25,NULL,,,,FRANCHISE,Franchise Fouchana,LAMANI,6,0
2024-07-18,NULL,,,,FRANCHISE,Franchise Ksar Helal,ZARROUKN,7,0
2024-07-17,2024-07-17,,,,FRANCHISE,Franchise Gafsa,MANRIHB,2,2
2024-06-27,NULL,,,,FRANCHISE,Franchise Mateur,ILYBEJA,1,0
2024-07-24,NULL,,,,FRANCHISE,Franchise Jerba Midoun,LWAML,2,0
2024-06-22,NULL,,,,BOUTIQUE,Boutique Nabeul,RFREDJ0,3,0
2024-07-23,NULL,,,,FRANCHISE,Franchise Zaghouane,GHAWS,7,0
